#{"t_start": 1702543920.5373437, "env_id": null}
r,l,t
96.22,269,1665.659634
-65.24,349,1674.810346
43.58,256,1677.485076
65.62,227,1679.489136
-71.4,411,1682.877668
-38.61,352,1686.198669
-10.89,316,1689.201931
-272.04,564,1700.255879
49.85,302,1703.191634
-81.75,374,1707.011736
-120.43,402,1711.116287
-266.19,573,1716.824053
-179.49,508,1727.433571
-313.65,595,1733.346338
-21.28,308,1736.529702
-119.77,426,1740.848597
-149.75,531,1752.340682
-37.37,326,1755.634752
-84.02,387,1759.759549
61.96,251,1762.499266
-92.91,393,1766.400626
-49.28,420,1770.801477
-187.42,518,1782.348361
-18.84,364,1786.283186
-130.96,444,1791.135774
-133.72,433,1795.727908
-466.81,744,1809.147101
-31.16,344,1812.876723
81.15,210,1815.248924
54.85,285,1818.372875
-8.7,350,1822.149417
2.07,325,1825.645699
16.89,293,1835.15601
-373.1,702,1842.175477
-63.9,369,1845.880881
110.79,224,1848.240816
69.48,236,1850.707543
-4.87,361,1854.408969
11.16,300,1863.00998
17.08,317,1866.355755
-299.92,620,1872.603324
-150.34,440,1877.073806
-72.45,366,1880.873087
-23.56,326,1889.805522
-102.82,398,1894.002283
35.27,274,1896.929435
51.73,303,1900.200103
65.09,240,1902.820596
-68.57,374,1906.765625
30.76,342,1915.861973
-111.97,409,1919.904765
-66.18,381,1923.91525
9.17,295,1927.081629
-93.18,425,1931.587963
-238.53,532,1942.743454
47.76,256,1945.582711
52.85,228,1948.111907
-34.55,369,1952.055059
13.03,318,1955.147326
-102.92,382,1960.166597
92.1,268,1963.789644
-17.84,301,1973.568656
-33.3,333,1976.231915
-93.78,394,1979.32073
24.35,343,1982.045251
-362.2,661,1987.53337
90.42,230,1995.527422
-13.76,329,1998.934431
38.77,291,2001.836009
-143.68,425,2006.20045
37.23,320,2009.383922
67.15,317,2012.63343
-43.82,396,2023.225425
57.04,245,2025.899201
3.31,277,2028.871747
-98.56,413,2033.024698
84.42,255,2035.431856
32.09,345,2039.041697
74.54,234,2041.385734
-20.19,338,2051.56793
-344.55,651,2058.326503
-15.51,347,2062.022865
84.27,214,2064.390388
-74.33,417,2068.855587
-125.57,480,2080.811137
77.74,278,2084.79081
-490.54,824,2095.796054
96.84,212,2098.69378
-102.59,443,2104.557419
54.33,248,2113.930111
-38.02,343,2117.961535
-151.12,483,2122.776065
-89.67,417,2127.00102
-69.71,370,2130.744772
42.58,272,2139.681995
45.82,248,2142.345635
-73.62,355,2145.842331
-402.52,707,2152.527573
-144.86,437,2157.012726
-71.96,379,2167.173379
-148.54,468,2172.079785
-202.59,519,2177.401449
-202.8,526,2182.813872
-446.22,749,2196.305511
-43.3,366,2200.165441
-142.7,459,2205.082338
-183.57,477,2209.668293
-69.16,369,2213.622486
-92.31,419,2224.032488
26.23,346,2227.737713
-15.0,369,2231.748138
-62.35,373,2235.725381
-146.03,455,2240.431752
-130.84,460,2251.33294
-190.18,508,2256.510579
-69.95,357,2260.217541
-48.1,357,2263.884882
29.23,324,2267.193717
-124.44,421,2277.557263
-157.09,471,2282.473067
74.99,280,2285.448186
-130.08,460,2290.156513
-102.09,413,2294.421453
71.97,301,2303.74048
162.42,240,2306.280048
66.94,252,2308.925816
94.46,274,2311.831565
75.54,254,2314.560225
-89.26,410,2318.855701
-1.86,317,2322.228161
-193.36,500,2333.124397
-113.1,421,2337.362553
41.5,309,2340.550138
-9.21,332,2343.944839
-55.13,353,2347.502385
-106.07,471,2358.235586
6.0,292,2361.291539
38.38,283,2363.821442
43.6,287,2366.605198
67.63,241,2368.794709
-392.69,707,2374.702933
-17.02,334,2383.836879
47.81,287,2386.924633
-151.93,471,2392.021073
-26.94,383,2396.007747
-10.12,307,2399.295495
-40.36,358,2409.177575
68.1,334,2412.798363
-84.89,411,2417.104455
42.87,265,2420.001764
-14.14,362,2423.804486
-25.2,356,2427.604279
50.17,275,2430.78773
-290.36,613,2442.843577
28.94,333,2446.367317
-146.63,478,2451.420005
-54.53,418,2455.737012
-236.82,581,2467.708024
-147.19,452,2472.168468
30.87,348,2475.426343
-80.04,372,2478.786923
-81.86,416,2482.910147
133.6,232,2491.261537
-157.99,535,2496.691836
-142.5,481,2501.642782
-172.93,534,2507.15205
-247.08,607,2519.613667
38.2,318,2522.84151
94.12,228,2524.859437
52.78,239,2527.347499
-54.54,366,2531.045393
122.71,269,2533.797214
67.83,312,2536.825248
6.21,323,2545.912091
97.99,256,2548.541263
6.8,344,2552.098749
-79.35,372,2555.965128
0.93,321,2559.357953
100.25,263,2561.997725
-128.8,499,2572.841256
46.34,280,2575.847439
44.07,313,2579.106371
-82.91,389,2583.200528
14.1,342,2586.859315
-121.31,427,2591.291568
-24.94,393,2601.406953
71.38,328,2604.939273
49.51,245,2607.607626
-53.81,392,2611.741688
-164.33,470,2616.865888
-129.14,444,2626.859566
-314.8,655,2633.70423
-184.16,549,2639.092551
124.68,260,2641.897494
107.31,282,2644.95872
152.83,267,2653.341131
59.67,254,2655.975776
-68.54,428,2660.354254
84.06,281,2663.381792
-267.06,656,2670.668156
-29.09,398,2681.481976
187.96,246,2684.289476
77.58,261,2687.374271
-175.23,487,2692.533966
-104.92,432,2697.105625
87.17,294,2700.243154
-25.99,414,2710.93258
-152.06,588,2717.101615
125.26,283,2720.140374
18.27,362,2724.032357
-62.62,427,2728.61375
19.57,331,2738.386099
-1.75,320,2741.917946
173.55,220,2744.478352
-82.19,429,2749.559677
-91.53,460,2756.026498
84.26,306,2760.319981
74.92,323,2770.085084
43.01,325,2773.409965
86.46,202,2775.70842
115.51,252,2778.639397
75.53,250,2781.387705
-46.4,404,2785.641421
84.51,282,2788.535385
68.74,327,2798.300906
100.83,272,2802.00179
27.22,373,2807.098934
118.41,266,2810.803353
-87.16,460,2816.693563
91.28,284,2820.055976
89.17,286,2829.593055
-190.11,542,2835.24343
47.48,271,2838.129213
167.93,250,2840.347778
60.01,312,2842.988331
14.42,367,2846.51463
-164.29,516,2858.700347
-24.91,391,2863.357326
5.5,366,2866.748091
-72.54,501,2871.924697
32.38,351,2875.681627
-89.22,436,2887.0505
161.82,251,2890.653801
18.39,357,2895.638408
-79.04,438,2901.305166
12.5,365,2906.102199
79.08,291,2910.173079
-223.29,570,2923.062505
-5.14,328,2926.565754
-54.13,415,2930.976573
1.68,383,2935.612406
8.08,395,2939.864779
14.33,378,2950.109161
-299.7,661,2955.666361
73.83,293,2958.686316
181.64,219,2960.992335
-105.1,533,2966.3261
-102.8,484,2976.682981
-66.41,423,2980.965303
180.37,234,2983.67303
80.34,299,2986.874691
-191.74,654,2993.547086
83.31,249,3001.517189
-258.85,636,3007.535687
3.62,377,3011.014705
60.31,327,3014.386731
-330.51,743,3027.39501
44.2,382,3031.419304
-55.15,459,3035.899864
40.03,328,3039.134589
54.6,331,3042.17132
-69.82,438,3052.475492
112.21,270,3055.359342
175.16,235,3057.961877
43.95,337,3061.211994
-9.35,424,3065.656632
29.09,345,3069.409808
-12.83,365,3079.418138
-50.77,376,3083.291465
68.89,319,3086.760548
-58.19,457,3091.290964
4.49,374,3095.031857
0.1,446,3104.847406
52.38,343,3108.270735
78.38,309,3111.446746
123.98,302,3114.47583
-242.68,627,3120.625425
136.83,257,3123.289679
-17.02,415,3134.137066
119.42,248,3137.734034
141.64,257,3141.462484
-237.69,589,3149.436421
43.9,353,3154.256134
-20.34,463,3165.940045
-24.19,410,3170.288481
103.55,266,3173.17968
38.21,320,3176.598356
14.33,366,3180.476356
30.95,368,3184.057138
11.68,358,3194.082227
110.73,276,3197.981225
67.68,307,3202.085477
107.87,330,3206.697782
85.05,286,3210.75332
-59.23,394,3216.291686
24.84,399,3228.008647
-166.52,580,3233.488009
-2.48,459,3238.034431
123.79,251,3240.594682
-12.65,390,3244.00085
-46.39,420,3253.164119
-216.57,538,3258.579463
-14.45,434,3263.065383
93.84,281,3266.01614
103.18,328,3268.915457
-164.75,605,3281.154315
16.67,431,3285.59479
129.38,279,3288.568678
71.96,340,3291.837875
134.18,268,3294.459344
-1.58,401,3298.695475
-72.68,493,3308.706645
152.84,277,3311.722907
159.49,255,3314.488798
13.02,391,3318.591695
140.07,311,3321.95188
51.34,442,3332.662856
211.19,214,3335.059045
166.97,239,3337.614985
-56.78,438,3342.460968
21.5,390,3346.611118
-29.28,445,3351.342297
57.84,310,3361.036184
5.97,396,3365.900959
50.82,409,3371.145483
66.38,328,3375.437525
-104.58,472,3381.554951
84.04,316,3385.544189
138.28,269,3395.910002
-84.49,542,3403.168956
1.57,395,3408.491608
-561.13,965,3427.935224
-98.76,575,3433.811425
213.54,264,3436.648947
-33.09,451,3441.257318
42.15,351,3444.824118
78.2,323,3448.223218
114.51,284,3457.391065
132.52,303,3460.89493
-88.18,522,3466.329043
26.42,388,3470.06808
52.16,303,3473.319925
-178.35,538,3484.893564
75.19,321,3488.260708
67.03,360,3492.093426
146.78,281,3495.321775
145.51,253,3498.099457
-247.66,623,3510.140356
-210.34,629,3516.409902
137.41,291,3519.407804
-0.17,404,3523.519468
34.97,404,3527.60189
152.2,313,3536.550483
120.2,288,3539.566703
